1413815114.434107;m3-23;Acc;-8.952848E-2;-2.6645381E-2;-9.869449E-1
1413815114.434643;m3-31;Acc;-1.3887148E-1;1.3987055E-2;-9.8209107E-1
1413815114.435237;m3-28;Acc;-7.731964E-2;-8.384056E-3;-9.8652405E-1
1413815114.435558;m3-28;Acc;-7.6388076E-2;-7.452495E-3;-9.874556E-1
1413815114.436070;m3-29;Acc;-7.08398E-2;2.2263937E-2;-9.9782914E-1
1413815114.436744;m3-30;Acc;-1.2402321E-1;6.647644E-2;-9.862326E-1
1413815114.437332;m3-26;Acc;-7.921542E-2;3.7627324E-2;-9.8920256E-1
1413815114.437949;m3-27;Acc;-7.487478E-2;5.9899827E-3;-9.853521E-1
1413815114.438502;m3-24;Acc;-6.713651E-2;3.159365E-2;-9.892762E-1
1413815114.438940;m3-25;Acc;-5.8289275E-2;1.840714E-2;-9.929629E-1
1413815114.439405;m3-22;Acc;-3.9984044E-2;2.4990028E-2;-9.9160427E-1
1413815114.440013;m3-23;Acc;-9.592337E-2;-2.877701E-2;-9.869449E-1
1413815114.440558;m3-31;Acc;-1.3687332E-1;1.3987055E-2;-9.850883E-1
1413815114.440987;m3-28;Acc;-7.731964E-2;-8.384056E-3;-9.93045E-1
1413815114.441458;m3-29;Acc;-6.679181E-2;1.9227944E-2;-9.866972E-1
1413815114.441987;m3-30;Acc;-1.21046655E-1;6.746863E-2;-9.812716E-1
1413815114.442619;m3-26;Acc;-7.327426E-2;3.465675E-2;-9.991045E-1
1413815114.443214;m3-27;Acc;-7.5873114E-2;9.983304E-3;-9.883471E-1
1413815114.443741;m3-24;Acc;-7.0098415E-2;3.4555554E-2;-9.8433965E-1
1413815114.444044;m3-24;Acc;-7.306032E-2;3.653016E-2;-9.85327E-1
1413815114.444568;m3-25;Acc;-6.033451E-2;1.840714E-2;-9.8580456E-1
1413815114.445165;m3-22;Acc;-4.0983643E-2;2.3990426E-2;-9.886055E-1
1413815114.445769;m3-23;Acc;-9.379174E-2;-3.1974457E-2;-9.880107E-1
1413815114.446200;m3-31;Acc;-1.418687E-1;1.498613E-2;-9.8408926E-1
1413815114.446817;m3-30;Acc;-1.250154E-1;6.746863E-2;-9.862326E-1
1413815114.447342;m3-26;Acc;-7.7235036E-2;3.465675E-2;-9.9316335E-1
1413815114.447858;m3-27;Acc;-7.786977E-2;8.984974E-3;-9.8335546E-1
1413815114.448436;m3-24;Acc;-6.911111E-2;3.653016E-2;-9.85327E-1
1413815114.449022;m3-25;Acc;-5.9311893E-2;1.5339282E-2;-9.806915E-1
1413815114.449455;m3-22;Acc;-3.9984044E-2;2.2990825E-2;-9.866063E-1
1413815114.449935;m3-23;Acc;-9.379174E-2;-2.5579564E-2;-9.880107E-1
1413815114.450585;m3-28;Acc;-7.82512E-2;-8.384056E-3;-9.921134E-1
1413815114.451108;m3-29;Acc;-6.4767815E-2;2.0239942E-2;-9.8770916E-1
1413815114.451692;m3-30;Acc;-1.21046655E-1;6.8460815E-2;-9.83256E-1
1413815114.452244;m3-26;Acc;-7.7235036E-2;3.168617E-2;-9.941535E-1
1413815114.452788;m3-27;Acc;-7.786977E-2;1.2978296E-2;-9.853521E-1
